,head,relation,tail
1087,netflix,root,v
1088,netflix,root,passes
1089,netflix,root,episodes
1090,netflix,root,samsung
1091,netflix,root,rules
1092,netflix,root,company
1093,netflix,root,regina
1094,netflix,root,film
1095,netflix,root,film
1096,netflix,root,eco remote
1097,netflix,root,tags
1098,netflix,root,rocket boys
1099,netflix,root,microsoft
1100,netflix,root,reverie
1101,netflix,root,guests
1102,netflix,root,generation
1103,netflix,root,viac
1104,netflix,root,users
1105,netflix,root,series
1106,netflix,root,dixson i
1107,netflix,root,mystery that
1108,netflix,root,cpus
1109,netflix,root,you´re i
1110,netflix,root,apps whatsapp
1111,netflix,root,customer support
1112,netflix,root,team
1113,netflix,root,chef
1114,netflix,root,handset
1115,netflix,root,manuel mirandamy placenewrobert
1116,netflix,root,programming you
1117,netflix,root,registration
1118,netflix,root,world
1119,netflix,root,registration
1120,netflix,root,mackenzie
1121,netflix,root,rousteing
1122,netflix,root,colton underwood
1123,netflix,root,us
1124,netflix,root,henares
1125,netflix,root,people
